lat,long,nombre_estacion,id_estacion,capacidad,dirección_completa,direccion_nombre,direccion_altura,direccion_interseccion,barrio
-34.6172122,-58.3561752,400 - Reserva Ecologica,285,20,"Achaval Rodriguez, T., Dr. Av. 1520","Achaval Rodriguez, T., Dr. Av.",1520,,Puerto Madero
-34.6304712,-58.4551112,284 - BONIFACIO Y CARABOBO,286,16,"Bonifacio, Jose 1913","Bonifacio, Jose",1913,,Flores
-34.6103343,-58.4409183,299 - HIDALGO,287,20,Hidalgo 796,Hidalgo,796,,Caballito
-34.6404886,-58.4429517,333 - MIRO,288,20,Miro 1684,Miro,1684,,Parque Chacabuco
-34.5597934,-58.4484316,255 - BARRANCAS DE BELGRANO,289,24,"Sucre, Antonio Jose De, Mcal. y Vertiz Virrey Av.","Sucre, Antonio Jose De, Mcal.",,Vertiz Virrey Av.,Belgrano
-34.6186003,-58.4456027,224 - FERROCARRIL OESTE,290,20,"Garcia Lorca, Federico 280","Garcia Lorca, Federico",280,,Caballito
-34.616985,-58.381621,244 - UADE,291,16,Lima 750,Lima,750,,Monserrat
-34.634796,-58.378109,355 - PLAZA RICARDO LLERAS,292,20,"Samperio, Manuel J. y Herrera","Samperio, Manuel J.",,Herrera,Barracas
-34.6264943,-58.4324405,294 - Bonifacio,293,16,"Bonifacio, Jose 381","Bonifacio, Jose",381,,Caballito
-34.5458835,-58.4520062,363 - Udaondo,294,20,"Udaondo, Guillermo Av. 1185","Udaondo, Guillermo Av.",1185,,Nuñez
-34.624802,-58.437683,392 - Calasanz,295,20,San Jose De Calasanz y Valle,San Jose De Calasanz,,Valle,Caballito
-34.632961,-58.462547,293 - PEDERNERA,296,15,Pedernera 381,Pedernera,381,,Flores
-34.640978,-58.466118,320 - QUIRNO,297,16,Quirno 781,Quirno,781,,Flores
-34.634443,-58.463437,271 - Plazoleta 11 de Noviembre,298,16,Varela 401,Varela,401,,Flores
-34.631486,-58.466293,221 - CULPINA,299,20,Culpina 121,Culpina,121,,Flores
-34.6513917,-58.4327288,321 - PERITO MORENO,300,20,"Fernandez De La Cruz, F., Gral. Av. y Erezcano","Fernandez De La Cruz, F., Gral. Av.",,Erezcano,Nueva Pompeya
-34.644841,-58.431785,309 - HOMERO MANZI,301,20,Barco Centenera Del 2292,Barco Centenera Del,2292,,Nueva Pompeya
-34.651955,-58.415423,340 - PLAZA NUEVA POMPEYA,302,16,Traful 3800,Traful,3800,,Nueva Pompeya
