fin_de_semana,hora,LINEA,ID,promedio,q
False,7,LINEA_D,7,5.012658227848101,1
False,7,LINEA_D,8,4.3125,1
False,7,LINEA_D,9,7.754716981132075,2
False,7,LINEA_D,10,6.886075949367089,2
False,7,LINEA_D,11,10.5625,3
False,7,LINEA_D,12,16.095890410958905,4
False,7,LINEA_D,54,5.642857142857143,1
False,7,LINEA_D,55,4.313253012048193,1
False,7,LINEA_D,56,6.185185185185185,2
False,7,LINEA_D,62,7.897058823529412,2
False,7,LINEA_D,63,4.655555555555556,1
False,7,LINEA_D,64,4.184466019417476,1
False,7,LINEA_D,65,5.342592592592593,1
False,7,LINEA_D,69,4.456,1
False,7,LINEA_D,71,5.930894308943089,2
False,7,LINEA_E,44,4.4,1
False,7,LINEA_E,45,3.466666666666667,1
False,7,LINEA_E,46,5.671875,1
False,7,LINEA_E,47,7.59375,2
False,7,LINEA_E,48,5.1875,1
False,7,LINEA_E,49,3.6382978723404253,1
False,7,LINEA_E,50,4.813953488372093,1
False,7,LINEA_E,51,4.714285714285714,1
False,7,LINEA_E,52,6.75,2
False,7,LINEA_E,53,7.895833333333333,2
False,7,LINEA_E,59,2.5675675675675675,1
False,7,LINEA_E,60,6.851063829787234,2
False,7,LINEA_E,61,4.8478260869565215,1
False,7,LINEA_E,67,12.865853658536585,3
False,7,LINEA_E,68,6.285714285714286,2
False,7,LINEA_H,1,6.416666666666667,2
False,7,LINEA_H,2,11.93939393939394,3
False,7,LINEA_H,3,9.54054054054054,3
False,7,LINEA_H,4,10.648148148148149,3
False,7,LINEA_H,5,10.627272727272727,3
False,7,LINEA_H,77,3.3157894736842106,1
False,7,LINEA_H,78,17.98148148148148,4
False,7,LINEA_H,79,22.0,4
False,7,LINEA_H,84,4.016129032258065,1
False,7,LINEA_H,85,6.916666666666667,2
False,7,LINEA_H,86,2.9083969465648853,1
False,8,LINEA_A,31,2.789473684210526,1
False,8,LINEA_A,32,3.5869565217391304,1
False,8,LINEA_A,33,4.98581560283688,1
False,8,LINEA_A,34,5.587301587301587,1
False,8,LINEA_A,35,7.417721518987341,2
False,8,LINEA_A,36,4.081081081081081,1
False,8,LINEA_A,37,5.536585365853658,1
False,8,LINEA_A,38,9.990291262135923,3
False,8,LINEA_A,39,6.339506172839506,2
False,8,LINEA_A,40,6.904761904761905,2
False,8,LINEA_A,41,7.179310344827586,2
False,8,LINEA_A,42,5.842592592592593,1
False,8,LINEA_A,43,11.128205128205128,3
False,8,LINEA_A,70,11.275,3
False,8,LINEA_A,75,5.157446808510638,1
False,8,LINEA_A,76,5.226415094339623,1
False,8,LINEA_A,82,8.393034825870647,2
False,8,LINEA_A,83,11.28343949044586,3
False,8,LINEA_B,20,2.738095238095238,1
False,8,LINEA_B,21,11.9125,3
False,8,LINEA_B,22,3.8784530386740332,1
False,8,LINEA_B,23,6.5568862275449105,2
False,8,LINEA_B,24,4.930379746835443,1
False,8,LINEA_B,25,5.809045226130653,1
False,8,LINEA_B,26,5.871657754010696,1
False,8,LINEA_B,27,11.012345679012345,3
False,8,LINEA_B,28,9.18867924528302,2
False,8,LINEA_B,29,9.494623655913978,2
False,8,LINEA_B,30,5.492146596858639,1
False,8,LINEA_B,66,10.832285115303984,3
